person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21,9600,own,5.0,education,b,1000,11.14,0,0.1,n,2
25,9600,mortgage,1.0,medical,c,5500,12.87,1,0.57,n,3
23,65500,rent,4.0,medical,c,35000,15.23,1,0.53,n,2
24,54400,rent,8.0,medical,c,35000,14.27,1,0.55,y,4
21,9900,own,2.0,venture,a,2500,7.14,1,0.25,n,2
26,77100,rent,8.0,education,b,35000,12.42,1,0.45,n,3
24,78956,rent,5.0,medical,b,35000,11.11,1,0.44,n,4
24,83000,rent,8.0,personal,a,35000,8.9,1,0.42,n,2
21,10000,own,6.0,venture,d,1600,14.74,1,0.16,n,3
22,85000,rent,6.0,venture,b,35000,10.37,1,0.41,n,4
21,10000,own,2.0,homeimprovement,a,4500,8.63,1,0.45,n,2
23,95000,rent,2.0,venture,a,35000,7.9,1,0.37,n,2
26,108160,rent,4.0,education,e,35000,18.39,1,0.32,n,4
23,115000,rent,2.0,education,a,35000,7.9,0,0.3,n,4
23,500000,mortgage,7.0,debtconsolidation,b,30000,10.65,0,0.06,n,3
23,120000,rent,0.0,education,a,35000,7.9,0,0.29,n,4
23,92111,rent,7.0,medical,f,35000,20.25,1,0.32,n,4
23,113000,rent,8.0,debtconsolidation,d,35000,18.25,1,0.31,n,4
24,10800,mortgage,8.0,education,b,1750,10.99,1,0.16,n,2
25,162500,rent,2.0,venture,a,35000,7.49,0,0.22,n,4
25,137000,rent,9.0,personal,e,34800,16.77,0,0.25,y,2
22,65000,rent,4.0,education,d,34000,17.58,1,0.52,n,4
24,10980,own,0.0,personal,a,1500,7.29,0,0.14,n,3
22,80000,rent,3.0,personal,d,33950,14.54,1,0.42,y,4
24,67746,rent,8.0,homeimprovement,c,33000,12.68,1,0.49,n,3
21,11000,mortgage,3.0,venture,e,4575,17.74,1,0.42,y,3
23,11000,own,0.0,personal,a,1400,9.32,0,0.13,n,3
24,65000,rent,6.0,homeimprovement,b,32500,9.99,1,0.5,n,3
21,11389,other,5.0,education,c,4000,12.84,1,0.35,y,2
21,11520,own,5.0,medical,b,2000,11.12,1,0.17,n,3
25,120000,rent,2.0,venture,a,32000,6.62,0,0.27,n,2
26,95000,rent,7.0,homeimprovement,c,31050,14.17,1,0.33,y,3
25,306000,rent,2.0,debtconsolidation,c,24250,13.85,0,0.08,n,3
26,300000,mortgage,10.0,medical,c,7800,13.49,0,0.03,n,4
21,12000,own,5.0,education,a,2500,7.51,1,0.21,n,4
22,48000,rent,1.0,education,e,30000,18.39,1,0.63,n,2
24,64000,rent,8.0,debtconsolidation,d,30000,14.54,1,0.47,y,3
25,75000,rent,4.0,homeimprovement,d,30000,16.89,1,0.4,y,4
23,71500,rent,3.0,debtconsolidation,d,30000,10.99,1,0.42,n,4
26,62050,rent,6.0,medical,e,30000,17.99,1,0.41,n,2
24,12000,own,4.0,venture,b,2500,12.69,1,0.21,n,3
26,300000,mortgage,10.0,venture,a,20000,7.88,0,0.07,n,4
23,300000,own,1.0,education,f,24250,19.41,0,0.08,y,2
26,300000,own,9.0,homeimprovement,b,10000,10.38,0,0.03,n,4
26,300000,mortgage,0.0,education,d,25000,15.33,0,0.08,n,3
25,300000,mortgage,9.0,homeimprovement,e,18000,16.45,0,0.06,n,3
26,80690,rent,8.0,personal,a,30000,7.49,1,0.37,n,3
22,66300,rent,4.0,medical,b,30000,12.69,1,0.38,n,3
26,89028,rent,0.0,debtconsolidation,a,30000,6.62,1,0.34,n,3
24,78000,rent,4.0,debtconsolidation,d,30000,10.99,1,0.38,y,4
23,78000,rent,7.0,debtconsolidation,f,30000,18.62,1,0.38,y,3
23,92004,rent,6.0,personal,c,30000,15.23,1,0.33,y,3
23,97000,rent,7.0,venture,b,30000,10.65,1,0.31,n,2
25,120000,rent,9.0,education,a,30000,7.9,0,0.25,n,4
26,280000,rent,4.0,personal,c,10000,15.96,0,0.04,y,3
26,277104,rent,0.0,venture,b,20000,11.48,0,0.07,n,3
23,277000,own,3.0,personal,a,35000,10.99,0,0.13,n,4
25,128000,rent,9.0,personal,a,30000,7.29,0,0.23,n,4
24,12000,own,2.0,venture,e,1750,10.99,0,0.15,y,3
21,131000,rent,0.0,venture,a,30000,5.99,0,0.23,n,4
22,275000,own,6.0,venture,b,12000,11.58,0,0.04,n,2
26,263000,mortgage,0.0,education,b,10000,10.99,1,0.04,n,4
25,221850,mortgage,9.0,medical,d,25000,15.7,1,0.1,n,2
22,70000,rent,6.0,education,d,29100,15.99,1,0.42,n,3
22,12000,mortgage,7.0,education,d,1500,14.84,0,0.13,y,3
26,260000,own,10.0,homeimprovement,b,28000,10.99,0,0.11,n,3
25,259000,mortgage,9.0,homeimprovement,d,20000,14.42,0,0.08,y,2
24,255000,mortgage,9.0,education,a,9600,6.99,0,0.04,n,2
25,250000,rent,2.0,medical,c,25000,13.49,0,0.1,n,4
25,12000,own,0.0,medical,c,3000,10.99,1,0.25,n,3
22,56950,rent,6.0,medical,a,28000,10.99,1,0.49,n,2
21,12000,own,6.0,education,c,3000,13.61,1,0.25,y,3
